n,entrada,longitud_entrada,tiempo_promedio,tiempo_min,tiempo_max,pasos,fibonacci_n
0,(vacío),0,1.042400008373079e-05,4.458999683265574e-06,3.124000022580731e-05,0,0
1,1,1,3.432320008869283e-05,2.4856999971234472e-05,6.643599999733851e-05,4,1
2,11,2,6.920579990037368e-05,5.28110003870097e-05,0.0001250979998985713,9,1
3,111,3,0.00015108920006241534,0.00011923699958060752,0.0002256590000797587,19,2
4,1111,4,0.0003870921999805432,0.0002869149998332432,0.0006183959999361832,37,3
5,11111,5,0.0007939419999274833,0.0004781400002684677,0.0010850529997696867,68,5
6,111111,6,0.0013549732000683434,0.000854055000218068,0.0018861570001718064,118,8
7,1111111,7,0.0028046494000591336,0.0017407909999747062,0.0037753970000267145,214,13
8,11111111,8,0.00800762280005074,0.0050992999999834865,0.015972947000136628,409,21
9,111111111,9,0.015352739399986604,0.012443644999621029,0.018627472999924066,847,34
10,1111111111,10,0.04191937699997652,0.03380024299985962,0.05539917599980981,1881,55
11,11111111111,11,0.1159107805999156,0.10463965999997527,0.13486645400007546,4428,89
12,111111111111,12,0.3804633174000628,0.3178783429998475,0.4460661699999946,10846,144
13,1111111111111,13,1.8714237762000265,1.7977650059997359,2.0333654380001462,27270,233
14,11111111111111,14,6.513490757400087,5.392895278000196,8.213354231999801,69669,377
15,111111111111111,15,27.67804583820034,25.568939177000175,29.945999032000145,179731,610
